Targets,Sample Size,Set Size,Set Size + Idiosyncratic,Frequency (K&F),Concreteness(Scale 1-7),Homograph? (Letter=Yes),Part of Speech,Mean Connectivity,Connectivity Strength,Resonance Probability,Resonance Strength,Accessibility Index,Non-Responses,Ending Stem Set Size  ,Ending Stem Strength,Beginning Stem Set Size,Beginning Stem Strength,Ending Fragment Cue,Ending Fragment Set size,Ending Fragment Strength,Beginning Fragment Cue,Beginning Cue Set Size,Beginning Cue Strength
ENGAGE,140,18,47,66,missing,G,V,1.53,2.520,0.07,1.030,3,0.02,missing,missing,missing,missing,,missing,missing,ENG---,4,0.07
ENGAGEMENT,153,9,23,22,3.46,,N,missing,missing,missing,missing,4,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ENGINE,184,16,37,50,5.88,,N,1.21,2.400,0.50,1.320,20,0.05,missing,missing,missing,missing,--GINE,2,0.75,ENG---,4,0.46
ENGINEER,152,24,49,42,missing,G,N,1.35,4.420,0.04,1.110,10,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
ENGLAND,140,12,40,157,missing,,N,missing,missing,missing,missing,14,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ENGLISH,139,16,33,195,missing,,AJ,1.60,3.340,0.47,2.070,43,0.01,8,0.00,missing,missing,,missing,missing,ENG----,4,0.30
ENJOY,143,14,36,44,2.66,,V,2.79,4.520,0.29,1.190,12,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ENOUGH,146,19,50,430,missing,,AJ,missing,missing,missing,missing,6,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ENRAGE,148,10,37,1,missing,,V,2.25,3.450,0.00,1.000,0,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ENSIGN,79,7,24,4,3.51,,N,missing,missing,missing,missing,0,0.29,missing,missing,missing,missing,,missing,missing,,missing,missing
ENTER,146,8,21,78,3.15,,V,1.62,1.990,0.38,1.430,11,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ENTERTAIN,178,20,54,14,3.93,G,V,3.17,5.370,0.06,1.150,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ENTERTAINMENT,148,9,36,29,missing,,N,1.67,2.330,0.33,1.100,4,0.01,14,0.00,missing,missing,,missing,missing,,missing,missing
ENTRANCE,148,8,15,57,4.92,T,N,2.00,2.960,0.50,1.300,12,0.00,20,0.00,missing,missing,,missing,missing,,missing,missing
ENTRY,150,13,47,26,missing,,N,0.77,2.040,0.00,1.000,6,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ENVELOPE,145,10,35,21,5.75,,N,1.75,2.560,0.38,1.240,8,0.00,11,0.00,missing,missing,,missing,missing,,missing,missing
ENVIRONMENT,150,21,59,42,missing,,N,1.85,2.660,0.25,1.470,13,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ENVY,150,10,22,7,2.34,,N,1.50,1.990,0.20,1.220,3,0.03,missing,missing,missing,missing,,missing,missing,E---,15,0.03
EPISTLE,79,8,21,1,5.58,,N,missing,missing,missing,missing,0,0.30,missing,missing,missing,missing,,missing,missing,,missing,missing
EQUAL,136,15,36,90,2.68,,AJ,1.64,2.470,0.57,1.470,11,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
EQUATION,150,8,26,33,4.45,,N,1.50,2.350,0.25,1.070,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ERA,139,16,45,30,missing,,N,0.80,2.310,0.20,1.070,4,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ERASER,152,10,32,2,missing,,N,0.50,2.610,0.38,1.110,7,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ERECT,142,17,39,13,2.13,,AJ,missing,missing,missing,missing,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ERMINE,79,4,18,0,4.08,,N,missing,missing,missing,missing,0,0.46,missing,missing,missing,missing,,missing,missing,,missing,missing
ERODE,152,24,54,4,missing,,V,missing,missing,missing,missing,4,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ERROR,140,5,11,80,2.85,,N,1.00,1.930,0.20,1.240,7,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ERUPT,153,6,26,2,missing,,V,1.60,1.860,0.40,1.560,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ESCALATOR,154,7,19,0,missing,,N,0.86,1.560,0.29,1.120,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ESCAPE,146,19,41,65,missing,G,V,1.47,3.960,0.18,1.110,12,0.04,13,0.03,missing,missing,,missing,missing,,missing,missing
ESCARGOT,151,10,28,0,missing,,N,1.50,1.900,0.10,1.060,1,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ESSAY,146,17,35,19,5.22,,N,2.82,4.290,0.18,1.150,11,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ESSENCE,147,20,51,15,1.66,,N,1.17,2.620,0.06,1.020,1,0.30,missing,missing,missing,missing,,missing,missing,,missing,missing
ESTEEM,154,9,28,5,2.60,,V,1.56,2.630,0.22,1.090,3,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ESTIMATE,144,13,32,39,2.75,,N,missing,missing,missing,missing,4,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ETERNAL,143,11,27,29,2.02,,AJ,2.00,2.080,0.13,1.030,5,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ETERNITY,146,10,24,6,2.95,,N,1.67,2.400,0.22,1.170,7,0.03,9,0.00,missing,missing,,missing,missing,,missing,missing
ETHICS,148,19,56,19,missing,,N,1.47,2.360,0.13,1.050,5,0.07,16,0.00,missing,missing,,missing,missing,,missing,missing
ETIQUETTE,153,11,43,3,missing,,N,1.40,1.780,0.20,1.180,4,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
EUROPE,148,24,51,118,5.76,,N,2.45,4.650,0.35,1.290,11,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
EVACUATE,148,13,27,1,3.65,,V,0.85,1.670,0.00,1.000,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EVALUATE,182,24,56,13,3.84,,V,1.78,3.710,0.13,1.050,4,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
EVEN,132,9,29,1171,2.75,,AJ,0.57,1.290,0.43,1.650,13,0.02,12,0.00,missing,missing,-VEN,2,0.39,E---,15,0.10
EVENING,156,8,31,133,3.93,,N,1.38,3.510,0.50,1.140,9,0.01,missing,missing,missing,missing,----ING,55,0.00,,missing,missing
EVENT,146,22,50,81,3.72,,N,1.32,2.960,0.16,1.200,22,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
EVER,147,14,33,345,2.91,,AD,1.46,4.300,0.31,1.190,6,0.07,missing,missing,missing,missing,,missing,missing,E---,15,0.05
EVERYDAY,138,27,49,12,missing,,AJ,missing,missing,missing,missing,6,0.07,26,0.00,missing,missing,,missing,missing,,missing,missing
EVERYTHING,152,8,34,185,missing,,P,1.00,1.130,0.60,1.470,9,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
EVICT,148,20,44,0,4.22,,V,missing,missing,missing,missing,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
EVIDENCE,150,16,50,204,3.45,,N,1.73,2.980,0.20,1.270,6,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
EVIL,147,11,29,72,2.28,,AJ,2.09,5.090,0.73,1.830,52,0.01,missing,missing,missing,missing,,missing,missing,E---,15,0.05
EWE,149,11,33,1,4.45,,N,2.00,2.960,0.18,1.040,2,0.27,missing,missing,missing,missing,,missing,missing,,missing,missing
EXACT,145,14,49,27,2.63,,AJ,1.38,2.210,0.23,1.560,11,0.02,15,0.00,missing,missing,,missing,missing,,missing,missing
EXAM,180,7,21,29,5.14,,N,1.43,1.370,0.14,1.250,10,0.01,21,0.00,missing,missing,,missing,missing,,missing,missing
EXAMINE,148,14,32,33,3.32,,V,2.17,4.400,0.17,1.050,4,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
EXAMPLE,146,22,69,292,missing,,N,1.06,1.770,0.17,1.340,5,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
EXCEDRIN,148,10,11,0,missing,,N,4.50,4.800,0.13,1.010,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
EXCEL,145,25,70,1,missing,,V,missing,missing,missing,missing,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
EXCELLENT,147,14,32,68,2.23,,AJ,3.33,4.220,0.58,1.200,10,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
EXCEPTIONAL,148,18,42,19,missing,,AJ,2.81,5.250,0.19,1.060,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EXCHANGE,150,16,42,70,missing,,V,1.57,2.310,0.36,1.340,10,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
EXCISE,148,16,50,4,2.64,T,N,0.85,1.930,0.00,1.000,0,0.19,missing,missing,missing,missing,,missing,missing,,missing,missing
EXCITED,153,19,55,23,missing,G,AJ,missing,missing,missing,missing,9,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
EXCITEMENT,154,17,64,32,missing,,N,missing,missing,missing,missing,13,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
EXCITING,145,15,52,29,missing,,AJ,missing,missing,missing,missing,19,0.03,25,0.00,missing,missing,,missing,missing,,missing,missing
EXCLAMATION POINT,147,18,66,0,missing,,N,missing,missing,missing,missing,1,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
EXCUSE,148,16,40,27,3.05,,V,1.06,2.880,0.19,1.440,15,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
EXECUTIVE,141,19,49,50,missing,,N,1.24,2.200,0.24,1.060,8,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
EXERCISE,148,28,54,58,4.62,G,N,3.12,7.450,0.58,2.160,40,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EXHALE,144,6,11,0,4.50,,V,1.20,1.470,0.20,1.380,3,0.01,28,0.00,missing,missing,,missing,missing,,missing,missing
EXHAUSTED,152,3,14,15,missing,,V,2.00,2.280,0.33,1.080,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
EXIST,149,20,43,59,missing,,V,2.35,5.790,0.18,1.120,7,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
EXISTENCE,146,14,42,107,missing,,N,2.42,2.920,0.08,1.030,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
EXIT,139,8,15,7,4.25,,N,1.12,1.640,0.63,2.240,12,0.00,13,0.00,missing,missing,,missing,missing,,missing,missing
EXPENSE,184,15,44,50,2.77,,N,2.07,3.560,0.07,1.160,3,0.02,20,0.00,missing,missing,---ENSE,4,0.08,EXP----,12,0.17
EXPENSIVE,145,13,41,44,2.45,,AJ,1.85,3.430,0.39,1.470,42,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
EXPERIENCE,147,19,60,276,missing,,N,1.35,2.640,0.00,1.000,8,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
EXPERIMENT,140,15,34,122,missing,,N,2.69,2.880,0.69,1.440,23,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EXPERT,140,18,45,30,3.87,,N,2.29,4.340,0.14,1.120,7,0.04,15,0.00,missing,missing,,missing,missing,,missing,missing
EXPLAIN,143,17,53,64,2.60,,V,1.56,3.920,0.31,1.590,13,0.09,missing,missing,missing,missing,,missing,missing,EXP----,12,0.10
EXPLANATION,153,21,49,43,3.25,,N,1.52,4.040,0.05,1.050,3,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
EXPLODE,142,15,44,6,4.92,,V,1.73,2.130,0.53,2.110,14,0.03,missing,missing,missing,missing,,missing,missing,EXP----,12,0.05
EXPLORER,148,20,55,4,missing,,N,missing,missing,missing,missing,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
EXPLOSION,153,15,35,15,missing,,N,2.62,3.050,0.39,1.410,9,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EXPRESS,145,16,47,42,2.58,N,V,0.77,1.810,0.08,1.070,4,0.01,20,0.01,missing,missing,,missing,missing,EXP----,12,7.00
EXPRESSION,195,16,52,79,2.48,,N,2.21,4.590,0.29,1.110,6,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
EXTENSION,147,14,42,36,missing,,N,1.18,2.930,0.18,1.060,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EXTINCT,150,13,32,1,missing,,AJ,1.22,1.860,0.22,1.140,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EXTRA,146,18,41,50,missing,G,AJ,1.14,3.340,0.14,1.290,12,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
EXTRAVAGANT,154,25,67,5,3.39,,AJ,missing,missing,missing,missing,4,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
EXTREME,141,22,95,62,2.34,,AJ,missing,missing,missing,missing,5,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
EXTREMITY,146,21,64,4,4.04,G,N,missing,missing,missing,missing,1,0.12,missing,missing,missing,missing,,missing,missing,,missing,missing
EYE,127,13,24,122,6.28,,N,1.82,3.300,0.73,2.080,46,0.00,25,0.03,missing,missing,--E,24,0.02,E--,10,0.03
EYEBALL,148,19,36,2,missing,,N,missing,missing,missing,missing,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EYEBROWS,147,16,38,9,missing,,N,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EYELASH,150,15,27,0,missing,,N,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
EYES,140,15,31,394,missing,,N,2.08,3.530,0.31,1.590,40,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
FABLE,156,8,18,2,4.51,,N,1.00,2.270,0.29,1.020,7,0.03,11,0.04,15,0.01,,missing,missing,FA---,16,0.01
FABRIC,197,15,36,15,6.55,,N,3.36,3.030,0.46,1.270,13,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
FACE,127,20,38,371,5.68,G,N,1.22,2.120,0.56,2.100,67,0.01,14,0.12,15,0.18,,missing,missing,FA--,14,0.18
FACT,195,18,51,447,3.08,,N,1.50,3.450,0.39,1.300,19,0.02,15,0.34,13,0.08,,missing,missing,FA--,14,0.03
FACTOR,147,15,51,71,missing,,N,1.33,2.430,0.00,1.000,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
FACTORY,197,24,49,32,6.87,,N,2.05,4.280,0.41,1.380,10,0.00,missing,missing,13,0.02,,missing,missing,,missing,missing
FACTS,150,14,36,87,3.31,,N,missing,missing,missing,missing,4,0.01,missing,missing,13,0.08,,missing,missing,FA---,16,0.05
FACULTY,147,14,34,74,missing,,N,3.14,5.060,0.07,1.090,1,0.01,missing,missing,13,0.01,,missing,missing,,missing,missing
FAD,140,16,47,2,3.37,,N,1.21,3.570,0.21,1.240,4,0.06,15,0.08,13,0.18,-AD,7,0.35,FA-,6,0.02
FADE,124,23,49,2,2.53,,V,1.95,4.560,0.10,1.060,6,0.02,23,0.06,15,0.16,-AD,8,0.21,FA--,14,0.02
FAIL,180,21,52,37,3.23,,V,1.60,4.230,0.30,2.150,24,0.04,28,0.10,15,0.02,--IL,17,0.02,FA--,14,0.04
FAILURE,143,21,60,89,2.56,,N,0.45,1.250,0.15,1.360,12,0.03,missing,missing,15,0.01,,missing,missing,,missing,missing
FAINT,165,18,50,25,4.46,,AJ,1.53,3.500,0.20,1.460,5,0.04,6,0.18,15,0.02,-AINT,4,0.22,FAI--,3,0.34
FAIR,132,25,59,77,4.09,N,AJ,1.35,4.180,0.30,1.660,27,0.02,25,0.23,15,0.00,-AIR,4,0.39,FA--,14,0.07
FAIRY,140,13,21,6,4.49,,N,missing,missing,missing,missing,10,0.01,8,0.18,missing,missing,,missing,missing,FAR--,3,0.02
FAIRYTALE,147,14,27,1,missing,,N,2.17,3.350,0.17,1.050,4,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
FAITH,198,12,40,111,2.71,,N,2.73,2.990,0.55,1.300,16,0.02,missing,missing,15,0.16,,missing,missing,FAI--,3,0.50
FAITHFUL,151,23,58,12,missing,,AJ,3.05,5.190,0.11,1.110,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
FAKE,142,19,48,10,2.88,,AJ,missing,missing,missing,missing,46,0.05,20,0.08,15,0.04,-AKE,9,0.18,FA--,14,0.12
FALL,149,17,38,147,3.86,P,V,1.41,3.270,0.65,2.870,80,0.02,15,0.14,6,0.75,-ALL,7,0.27,FA--,14,0.44
FALSE,148,4,13,29,2.17,,AJ,0.50,0.970,0.50,1.560,28,0.01,missing,missing,missing,missing,,missing,missing,FA---,16,0.07
FAME,197,13,39,18,2.21,,N,1.75,2.840,0.33,1.130,8,0.01,15,0.09,15,0.04,,missing,missing,FA--,14,0.03
FAMILY,198,25,50,331,5.85,,N,2.36,5.500,0.48,1.530,56,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
FAMINE,126,11,24,3,3.71,,N,1.22,1.820,0.11,1.040,3,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
FAMISHED,154,7,17,0,missing,,V,0.71,2.010,0.29,1.060,4,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
FAMOUS,140,14,30,89,3.05,,AJ,missing,missing,missing,missing,11,0.06,missing,missing,15,0.01,,missing,missing,,missing,missing
FAN,148,17,31,18,5.53,N,N,1.53,4.750,0.06,1.170,1,0.01,14,0.07,13,0.00,-AN,9,0.27,FA-,6,0.07
FANCY,148,19,46,16,2.78,P,N,2.12,2.340,0.44,1.310,12,0.04,missing,missing,13,0.00,,missing,missing,FA---,16,0.03
FANGS,154,14,26,2,5.70,,N,2.33,4.310,0.17,1.160,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
FANTASTIC,153,15,47,20,missing,,AJ,3.73,4.340,0.36,1.090,7,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
FANTASY,145,8,30,14,2.03,,N,1.12,1.190,0.50,1.230,18,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
FAR,147,12,25,427,2.98,,AD,1.10,1.960,0.70,2.400,38,0.01,10,0.28,missing,missing,-AR,8,0.14,FA-,6,0.12
FARM,162,12,31,125,5.53,,N,1.50,1.550,0.67,1.880,38,0.01,7,0.35,missing,missing,,missing,missing,FA--,14,0.01
FARMER,198,33,53,23,6.42,,N,3.03,6.260,0.17,1.140,8,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
FASCISM,148,19,63,3,missing,,N,missing,missing,missing,missing,0,0.19,missing,missing,missing,missing,,missing,missing,,missing,missing
FASHION,148,15,32,69,3.75,,N,1.60,2.500,0.47,1.660,9,0.01,4,0.35,13,0.01,,missing,missing,,missing,missing
FAST,127,7,20,78,2.93,N,AJ,1.43,1.710,1.00,3.020,85,0.02,9,0.22,13,0.12,-AST,6,0.55,FA--,15,0.09
FASTEN,156,17,33,4,3.44,,V,1.69,2.780,0.19,1.040,6,0.00,missing,missing,missing,missing,----EN,15,0.00,,missing,missing
FAT,184,16,36,60,4.80,,N,1.47,4.400,0.60,2.770,84,0.08,15,0.10,13,0.24,-AT,7,0.18,FA-,6,0.73
FATE,184,13,54,33,2.75,,N,1.64,2.700,0.09,1.210,5,0.07,25,0.05,15,0.06,-ATE,7,0.21,FA--,8,0.17
FATHER,126,4,18,183,5.90,,N,0.50,0.950,0.75,1.860,30,0.02,missing,missing,6,0.02,----ER,37,0.02,,missing,missing
FATIGUE,154,6,27,11,missing,,N,1.67,2.570,0.17,1.030,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
FATTENING,152,20,47,2,missing,,V,2.18,4.940,0.12,1.030,10,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
FAUCET,148,7,16,1,6.20,,N,2.00,2.320,1.00,1.430,8,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
FAULT,148,20,42,22,2.87,T,N,1.68,2.080,0.21,1.130,9,0.07,7,0.04,6,0.01,,missing,missing,FA---,16,0.03
FAVOR,146,21,52,78,missing,,N,1.47,3.800,0.16,1.030,6,0.10,missing,missing,15,0.10,,missing,missing,,missing,missing
FAVORITE,138,14,45,41,missing,,N,1.14,3.130,0.07,1.020,3,0.00,13,0.00,15,0.04,,missing,missing,,missing,missing
FAWN,146,6,27,1,5.47,T,V,0.60,1.610,0.40,1.070,2,0.14,10,0.08,6,0.04,-AWN,5,0.06,,missing,missing
FBI,153,17,44,0,missing,,N,missing,missing,missing,missing,5,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
FEAR,148,17,55,127,3.22,,N,1.40,1.910,0.67,1.800,57,0.02,22,0.17,missing,missing,-EAR,9,0.31,F---,31,0.05
FEAST,165,15,28,3,5.36,,N,2.58,5.690,0.25,1.140,5,0.01,8,0.16,missing,missing,-EAST,4,0.29,FE---,6,0.08
FEATHER,156,14,22,6,6.63,,N,1.23,3.330,0.46,1.180,13,0.01,missing,missing,14,0.10,,missing,missing,,missing,missing
FEATHERS,146,9,20,14,missing,,N,1.50,2.190,0.00,1.000,2,0.01,missing,missing,14,0.10,,missing,missing,,missing,missing
FEATURE,152,10,38,37,missing,,N,1.20,2.810,0.00,1.000,3,0.03,6,0.15,missing,missing,,missing,missing,,missing,missing
FEDERAL,153,18,35,246,missing,,AJ,1.82,3.650,0.24,1.140,6,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
FEE,152,10,28,16,missing,,N,1.56,3.150,0.22,1.040,6,0.00,33,0.02,9,0.03,--E,24,0.04,,missing,missing
FEEBLE,154,11,37,8,missing,,AJ,1.18,3.190,0.09,1.040,3,0.08,missing,missing,9,0.05,---BLE,19,0.01,,missing,missing
FEED,125,15,32,123,4.65,,V,2.57,5.190,0.07,1.020,2,0.02,26,0.09,9,0.53,-E-D,21,0.10,F---,31,0.01
FEEL,175,14,45,216,3.16,,V,1.71,3.330,0.14,1.790,21,0.03,17,0.35,9,0.11,-EEL,5,0.29,F---,31,0.01
FEELING,195,18,52,172,2.33,,N,2.50,5.610,0.31,1.680,43,0.01,missing,missing,missing,missing,----ING,55,0.05,,missing,missing
FEELINGS,147,15,35,61,missing,,N,missing,missing,missing,missing,13,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
FEET,148,10,26,283,6.28,P,N,1.20,1.790,0.50,2.310,35,0.00,17,0.22,9,0.17,-E-T,24,0.12,F---,31,0.03
FELL,180,18,37,92,4.03,,V,1.35,5.170,0.00,1.000,0,0.06,16,0.12,14,0.17,-ELL,7,0.08,,missing,missing
FELLOW,145,17,36,63,missing,,N,2.31,4.740,0.00,1.000,0,0.03,6,0.02,14,0.02,--LLOW,8,0.11,,missing,missing
FELT,148,17,51,357,4.33,W,N,2.18,5.860,0.00,1.000,2,0.01,7,0.45,14,0.01,-ELT,5,0.17,-E-T,18,0.02
FEMALE,143,12,24,50,6.17,,N,2.27,1.780,0.36,1.890,19,0.03,missing,missing,9,0.01,,missing,missing,,missing,missing
FENCE,127,20,41,30,5.85,N,N,0.94,2.090,0.39,1.940,14,0.02,20,0.11,missing,missing,,missing,missing,FE---,6,0.05
FESTIVAL,148,13,38,27,missing,,N,1.70,2.720,0.30,1.120,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
FEUD,198,7,15,1,3.08,,N,1.43,2.340,0.14,1.010,1,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
FEVER,184,14,30,19,4.37,,N,1.92,4.790,0.31,1.110,12,0.03,missing,missing,14,0.04,--VER,14,0.13,FE---,6,0.05
FEW,142,12,28,601,3.02,,AJ,1.90,2.530,0.60,1.950,20,0.04,30,0.01,missing,missing,-EW,8,0.23,F--,14,0.01
FIB,152,4,13,0,missing,,N,1.00,1.460,0.25,1.070,2,0.07,11,0.25,12,0.08,,missing,missing,FI-,6,0.01
FIBER,146,21,49,27,missing,,N,missing,missing,missing,missing,4,0.01,missing,missing,missing,missing,,missing,missing,FI---,23,0.02
FIBRE,79,11,35,27,4.50,,N,missing,missing,missing,missing,0,0.22,missing,missing,missing,missing,,missing,missing,,missing,missing
FICTION,145,16,25,46,3.00,,N,missing,missing,missing,missing,15,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
FIDDLE,147,15,41,2,5.80,,N,missing,missing,missing,missing,3,0.03,7,0.16,missing,missing,-IDDLE,4,0.15,,missing,missing
FIELD,197,34,63,274,6.67,N,N,1.85,5.710,0.46,1.910,41,0.00,12,0.13,missing,missing,,missing,missing,FI---,13,0.00
FIERCE,152,15,44,8,missing,,AJ,1.36,3.350,0.07,1.020,2,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
FIG,156,10,13,72,6.28,,N,1.10,2.780,0.10,1.180,1,0.01,11,0.29,12,0.01,-IG,7,0.29,FI-,6,0.25
FIGHT,148,24,56,98,4.16,,V,2.05,4.010,0.50,4.370,90,0.05,19,0.10,14,0.15,-IGHT,8,0.25,FI---,13,0.20
FIGHTER,148,13,45,9,5.67,,N,0.62,2.520,0.39,1.440,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
FIGURE,133,19,55,209,4.68,N,N,0.95,1.470,0.16,1.190,25,0.04,missing,missing,12,0.00,,missing,missing,,missing,missing
